İL,Ihracat_gelir,ıhracat_yuzde,yurt_sayisi,yasam_maliyeti,yasanabilirlik,buyuksehir,il_id
ADANA,4135528810,1.62,15,32,50.23,1,1
ADIYAMAN,156097457,0.06,3,NULL,35.62,0,2
AFYONKARAHİSAR,631299745,0.25,16,23,41.24,0,3
AĞRI,32877731,0.01,1,NULL,NULL,0,4
AKSARAY,1605283300,0.63,8,21,37.72,0,68
AMASYA,185098934,0.07,16,20,43.69,0,5
ANKARA,11073724056,4.33,107,37,66.13,1,6
ANTALYA,2713762521,1.06,24,36,59.1,1,7
ARDAHAN,1699848,0,1,11,33.96,0,75
ARTVİN,51921566,0.02,3,NULL,47.35,0,8
AYDIN,1661190146,0.65,21,NULL,51.3,1,9
BALIKESİR,2284431481,0.89,16,NULL,51.72,1,10
BARTIN,294048488,0.11,8,NULL,43.63,0,74
BATMAN,562450690,0.22,1,NULL,35.55,0,72
BAYBURT,2183499,0,7,11,37.11,0,69
BİLECİK,1137116915,0.44,6,NULL,44.69,0,11
BİNGÖL,96060332,0.04,2,18,36.46,0,12
BİTLİS,21686083,0.01,3,18,31.85,0,13
BOLU,936922916,0.37,8,19,49.77,0,14
BURDUR,320348555,0.13,3,18,42.68,0,15
BURSA,17652194834,6.9,20,35,57.13,1,16
ÇANAKKALE,1117489217,0.44,16,NULL,53.36,NULL,17
ÇANKIRI,697614096,0.27,4,NULL,41.3,0,18
ÇORUM,2361462799,0.92,6,24,39.55,0,19
DENİZLİ,4025294313,1.57,7,25,48.05,1,20
DİYARBAKIR,317927835,0.12,2,NULL,37.38,1,21
DÜZCE,1929236243,0.75,6,20,42.49,0,81
EDİRNE,327196643,0.13,8,20,50.99,0,22
ELAZIĞ,343419680,0.13,8,NULL,50.53,0,23
ERZİNCAN,54711621,0.02,7,18,42.71,0,24
ERZURUM,53344912,0.02,9,18,44.05,1,25
ESKİŞEHİR,4277926677,1.67,10,31,56.84,1,26
GAZİANTEP,9146215638,3.58,6,29,46.55,1,27
GİRESUN,629133110,0.25,7,21,NULL,0,28
GÜMÜŞHANE,51947881,0.02,6,11,37.47,0,29
HAKKARİ,48593506,0.02,1,14,30.94,0,30
HATAY,5170307574,2.02,5,NULL,46.89,1,31
IĞDIR,52693724,0.02,1,NULL,33.86,0,76
ISPARTA,609140029,0.24,7,22,45.47,0,32
İSTANBUL,59381117599,23.21,552,44,68.9,1,34
İZMİR,23793081855,9.3,26,37,62.39,1,35
KAHRAMANMARAŞ,1222701056,0.48,7,NULL,41.76,1,46
KARABÜK,478797862,0.19,13,22,50.31,NULL,78
KARAMAN,620186023,0.24,3,19,39.97,0,70
KARS,3434530,0,3,NULL,38.24,0,36
KASTAMONU,139638325,0.05,11,21,42,0,37
KAYSERİ,3581066542,1.4,9,29,52.04,1,38
KİLİS,147005471,0.06,1,13,NULL,0,79
KIRIKKALE,281873098,0.11,5,NULL,44.94,0,71
KIRKLARELİ,1488975932,0.58,13,NULL,48.05,NULL,39
KIRŞEHİR,301504589,0.12,4,NULL,40.97,0,40
KOCAELİ,30716794192,12.01,18,31,59.98,1,41
KONYA,3789177762,1.48,38,29,48.88,1,42
KÜTAHYA,854889899,0.33,20,25,46.57,NULL,43
MALATYA,802072652,0.31,10,21,47.36,1,44
MANİSA,7747697653,3.03,20,27,45.54,1,45
MARDİN,923496049,0.36,3,23,37.23,1,47
MERSİN,9757615614,3.81,10,32,50.09,1,33
MUĞLA,1188883051,0.46,5,28,51.23,1,48
MUŞ,2247369,0,2,15,29.71,0,49
NEVŞEHİR,129167240,0.05,6,NULL,42.66,0,50
NİĞDE,136625767,0.05,3,19,41.21,0,51
ORDU,577800810,0.23,7,21,NULL,1,52
OSMANİYE,1243300097,0.49,4,20,36.73,NULL,80
RİZE,190263538,0.07,7,18,NULL,0,53
SAKARYA,9405415917,3.68,16,30,53.35,1,54
SAMSUN,1564653559,0.61,11,27,52.36,1,55
ŞANLIURFA,443044746,0.17,5,NULL,41.09,1,63
SİİRT,9665848,0,3,17,31.57,0,56
SİNOP,259007075,0.1,6,20,43.6,0,57
ŞIRNAK,460125911,0.18,2,NULL,30.45,0,73
SİVAS,332236042,0.13,9,20,46.8,0,58
TEKİRDAĞ,12519874821,4.89,6,30,61.46,1,59
TOKAT,251262404,0.1,10,21,NULL,0,60
TRABZON,766601928,0.3,11,27,53.38,1,61
TUNCELİ,11873051,0,1,14,40.57,0,62
UŞAK,431119168,0.17,10,22,NULL,0,64
VAN,39176400,0.02,3,13,35.51,1,65
YALOVA,1817965128,0.71,7,23,58.07,0,77
YOZGAT,122028069,0.05,7,18,34.28,0,66
ZONGULDAK,993003198,0.39,13,23,48.3,0,67
