Universite,Uni_egitim,girisim_destek,akademisyen,sosyal,yurtdisi_egitim,arastirma_olanaklari,sehir,uni_id,il_id
"Yıldız Teknik Üniversitesi",1,70.01,1700,88,821,NULL,Istanbul,1,34
"İzmir Yüksek Teknoloji Enstitüsü",44,66.99,696,89,124,862.47,İzmir,2,35
"Abdullah Gül Üniversitesi",3,37.93,294,85,2,705.46,Kayseri,3,38
"MEF Üniversitesi",4,NULL,173,81,36,417.56,Istanbul,4,34
"Ege Üniversitesi",9,58.42,2980,89,413,978.84,İzmir,5,35
"TED Üniversitesi",6,NULL,328,83,6,500.63,Ankara,6,6
"Erciyes Üniversitesi",22,58.01,2114,88,59,909.8,Kayseri,7,38
"Hasan Kalyoncu Üniversitesi",8,46.51,280,85,16,624.72,Gaziantep,8,27
"İhsan Doğramacı Bilkent Üniversitesi",9,NULL,NULL,86,NULL,NULL,İzmir,9,35
"Sabancı Üniversitesi",10,NULL,NULL,86,NULL,NULL,İzmir,10,35
"İzmir Ekonomi Üniversitesi",11,38.32,610,80,60,586.2,İzmir,11,35
"Koç Üniversitesi",11,67.21,852,81,356,1126.41,Istanbul,12,34
"Özyeğin Üniversitesi",13,67.73,471,86,105,680.1,Istanbul,13,34
"Sanko Üniversitesi",14,NULL,153,76,NULL,343.43,Gaziantep,14,27
"Acıbadem Mehmet Ali Aydınlar Üniversitesi",15,NULL,NULL,83,NULL,NULL,Ankara,15,6
"Piri Reis Üniversitesi",16,NULL,202,82,23,449.52,Istanbul,16,34
"Galatasaray Üniversitesi",17,NULL,303,89,429,509.43,Istanbul,17,34
"Yaşar Üniversitesi",18,42.02,407,78,64,579.4,İzmir,18,35
"Bezm-İ Âlem Vakıf Üniversitesi",19,NULL,NULL,74,NULL,NULL,Selçuklu,19,NULL
"Akdeniz Üniversitesi",17,49.55,2596,90,147,848.62,Antalya,20,7
"Gebze Teknik Üniversitesi",21,58.69,797,78,53,917.82,Kocaeli,21,41
"Biruni Üniversitesi",22,NULL,428,84,33,616.5,Istanbul,22,34
"Çanakkale Onsekiz Mart Üniversitesi",30,40.03,1983,80,119,683.79,Canakkale,23,17
"Beykoz Üniversitesi",24,NULL,140,69,9,125.03,Istanbul,24,34
"İstanbul Atlas Üniversitesi",25,NULL,458,81,9,NULL,Denizli,25,20
"Hacettepe Üniversitesi",7,55.8,3548,80,157,1072.82,Ankara,26,6
"Altınbaş Üniversitesi",27,NULL,NULL,72,NULL,NULL,Gaziantep,27,27
"Konya Teknik Üniversitesi",28,41.23,508,78,NULL,680.57,Eskisehir,28,26
"Türk-Alman Üniversitesi",29,NULL,359,88,39,442.17,Istanbul,29,34
"Ordu Üniversitesi",30,NULL,954,84,4,610.69,Ordu,30,52
"Bartın Üniversitesi",31,NULL,NULL,79,NULL,NULL,Bartin,31,NULL
"Orta Doğu Teknik Üniversitesi",3,80.61,1976,81,615,1060.65,Ankara,32,6
"İbn Haldun Üniversitesi",33,NULL,149,82,4,494.51,Aydin,33,NULL
"Sağlık Bilimleri Üniversitesi",34,NULL,NULL,70,NULL,NULL,Sivas,34,58
"Muğla Sıtkı Koçman Üniversitesi",35,NULL,NULL,83,NULL,NULL,Malatya,35,44
"Süleyman Demirel Üniversitesi",29,37.57,1806,84,47,765.18,Isparta,36,32
"İstanbul Bilgi Üniversitesi",23,NULL,570,80,191,522.3,Istanbul,37,34
"İstanbul Teknik Üniversitesi",4,79.39,2470,81,379,1032,Istanbul,38,34
"Kadir Has Üniversitesi",31,44.28,253,83,150,676.69,Istanbul,39,34
"Ankara Yıldırım Beyazıt Üniversitesi",40,NULL,NULL,82,NULL,NULL,Ankara,40,6
"Tarsus Üniversitesi",41,NULL,282,61,2,551.89,Kocaeli,41,41
"Ankara Üniversitesi",8,51.81,3635,69,299,1032.49,Ankara,42,6
"Bandırma Onyedi Eylül Üniversitesi",43,NULL,NULL,60,NULL,NULL,Balıkesir,43,10
"İskenderun Teknik Üniversitesi",44,NULL,370,78,3,611.08,İskenderun,44,NULL
"Çukurova Üniversitesi",18,46.32,2086,83,78,864.64,Adana,45,1
"KTO Karatay Üniversitesi",46,NULL,331,79,37,449.12,Konya,46,42
"Bursa Uludağ Üniversitesi",47,48.87,2264,84,84,820.19,Bursa,47,16
"Mersin Üniversitesi",48,NULL,1686,78,104,729.85,Mersin,48,33
"İzmir Kâtip Çelebi Üniversitesi",49,NULL,1170,74,25,772.83,İzmir,49,35
"Fatih Sultan Mehmet Vakıf Üniversitesi",50,NULL,NULL,73,NULL,NULL,Ankara,50,6
"Kocaeli Üniversitesi",41,44.8,2087,76,160,774.61,Kocaeli,51,41
"Burdur Mehmet Akif Ersoy Üniversitesi",52,NULL,1160,80,7,595.89,Burdur,52,15
"Balıkesir Üniversitesi",53,NULL,NULL,75,NULL,NULL,Istanbul,53,34
"Anadolu Üniversitesi",1,NULL,1468,91,41,717.56,Eskisehir,54,26
"İstanbul Üniversitesi",5,59.32,3420,79,657,1029.22,Istanbul,55,34
"İstanbul 29 Mayıs Üniversitesi",56,NULL,NULL,78,NULL,NULL,Sanliurfa,56,63
"Demiroğlu Bilim Üniversitesi",57,NULL,193,66,NULL,466.04,Istanbul,57,34
"İstanbul Sabahattin Zaim Üniversitesi",58,NULL,358,84,26,521.02,Istanbul,58,34
"Atatürk Üniversitesi",13,45.51,2707,79,28,884.68,Erzurum,59,25
"Sakarya Üniversitesi",21,45.3,1672,74,109,796.6,Sakarya,60,54
"Nuh Naci Yazgan Üniversitesi",61,NULL,131,81,3,282,Kayseri,61,38
"Eskişehir Teknik Üniversitesi",62,50.61,727,71,61,711.33,Kütahya,62,43
"Işık Üniversitesi",63,NULL,NULL,70,NULL,NULL,Manisa,63,45
"Marmara Üniversitesi",14,54.05,3150,75,1267,914.39,Istanbul,64,34
"İnönü Üniversitesi",35,NULL,1515,84,27,787.25,Malatya,65,44
"Maltepe Üniversitesi",66,NULL,570,79,23,437.45,Istanbul,66,34
"Boğaziçi Üniversitesi",2,65.37,966,77,402,878.9,Istanbul,67,34
"Yeditepe Üniversitesi",36,45.48,1067,88,546,712.49,Istanbul,68,34
"Trakya Üniversitesi",37,NULL,1721,80,4,640.36,Edirne,69,22
"Ankara Sosyal Bilimler Üniversitesi",70,NULL,456,80,12,352.2,Ankara,70,6
